,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
668,1628419,Cameron Oliver,Cameron,1610612745,HOU,24.0,4,1,3,0.25,21.8,2.0,2.0,1.5,7.0,8.3,5.3,7.3,28.0,1.0,0.5,2.8,0.8,22.7,519,515,27,486,231,107,60,126,83,348,260,411,130,47,380,504,379,158,5,"1628419,1610612745",2020-21
669,1626166,Cameron Payne,Cameron,1610612756,PHX,26.0,60,42,18,0.7,18.0,0.9,0.6,0.8,3.1,5.7,5.0,3.9,18.0,0.3,0.3,1.6,1.1,18.3,140,36,196,54,308,328,350,249,265,200,237,178,296,292,191,262,291,232,5,"1626166,1610612756",2020-21
670,1627747,Caris LeVert,Caris,1610612754,IND,26.0,47,24,23,0.511,31.6,3.5,1.2,3.1,9.7,11.0,10.6,9.6,38.2,0.6,0.8,2.2,3.1,37.4,256,223,297,247,69,22,178,18,36,486,534,524,6,114,475,424,64,41,5,"1627747,1610612754",2020-21
671,2546,Carmelo Anthony,Carmelo,1610612757,POR,37.0,69,39,30,0.565,24.5,1.6,1.2,1.4,1.4,7.0,7.4,5.9,24.6,0.6,0.3,2.1,1.9,22.1,32,56,413,184,185,167,179,140,407,288,416,329,181,139,213,396,153,165,5,"2546,1610612757",2020-21
672,1629035,Carsen Edwards,Carsen,1610612738,BOS,23.0,31,14,17,0.452,8.9,0.5,0.2,0.8,1.4,2.6,2.5,1.7,8.2,0.0,0.2,0.8,0.4,6.2,378,357,182,322,457,441,487,275,412,66,91,54,459,488,110,83,472,462,5,"1629035,1610612738",2020-21
673,1630199,Cassius Stanley,Cassius,1610612754,IND,21.0,24,10,14,0.417,3.9,0.1,0.2,0.6,0.8,1.1,1.4,1.0,3.7,0.1,0.4,0.6,0.3,2.9,417,411,151,373,521,505,479,320,471,10,37,19,520,452,299,46,504,520,5,"1630199,1610612754",2020-21
674,1630216,Cassius Winston,Cassius,1610612764,WAS,23.0,22,10,12,0.455,4.5,0.1,0.1,0.1,0.2,2.0,1.7,0.8,3.6,0.0,0.0,0.4,0.2,3.4,427,411,120,318,513,504,507,481,521,36,49,16,521,479,44,24,507,515,5,"1630216,1610612764",2020-21
675,1626224,Cedi Osman,Cedi,1610612739,CLE,26.0,59,17,42,0.288,25.6,2.2,0.9,1.7,3.7,9.7,6.6,7.3,26.6,0.2,0.6,2.0,1.6,20.7,151,325,517,471,171,90,262,97,224,413,354,413,157,394,410,374,184,195,5,"1626224,1610612739",2020-21
676,1628990,Chandler Hutchison,Chandler,1610612764,WAS,25.0,25,11,14,0.44,13.8,0.3,0.2,0.4,2.3,5.5,4.2,2.8,15.0,0.2,0.3,1.3,1.1,10.3,415,398,151,334,385,478,489,386,321,187,188,118,367,342,219,181,292,388,5,"1628990,1610612764",2020-21
677,1629718,Charlie Brown Jr.,Charlie,1610612760,OKC,24.0,9,1,8,0.111,16.9,0.8,0.0,0.7,1.1,6.1,3.8,3.1,19.1,0.2,0.2,2.1,0.9,9.5,491,515,76,526,333,365,510,297,436,231,158,137,275,330,163,403,347,401,5,"1629718,1610612760",2020-21
678,1626184,Chasson Randle,Chasson,1610612753,ORL,28.0,41,10,31,0.244,20.4,0.9,0.4,0.9,2.0,6.7,4.8,6.3,19.8,0.1,0.3,1.6,0.9,12.4,310,411,427,491,258,325,437,230,345,267,225,353,262,421,261,240,351,351,5,"1626184,1610612753",2020-21
679,1629002,Chimezie Metu,Chimezie,1610612758,SAC,24.0,36,14,22,0.389,13.6,0.7,0.9,0.7,3.6,5.3,3.6,3.9,15.1,0.5,0.3,1.6,0.9,13.0,346,357,274,397,390,397,268,288,232,174,148,174,364,149,251,271,341,342,5,"1629002,1610612758",2020-21
680,1628449,Chris Boucher,Chris,1610612761,TOR,28.0,60,25,35,0.417,24.2,1.9,2.8,0.8,6.3,7.6,7.1,5.4,20.7,1.9,0.7,2.8,2.4,29.8,140,213,481,373,189,121,21,249,107,320,394,298,247,5,457,508,103,82,5,"1628449,1610612761",2020-21
681,1629185,Chris Chiozza,Chris,1610612751,BKN,25.0,22,12,10,0.545,10.6,0.7,0.0,1.0,1.3,3.2,2.2,1.9,9.5,0.3,0.4,0.9,0.7,10.8,427,388,101,206,430,394,509,200,422,93,75,69,441,286,291,86,394,380,5,"1629185,1610612751",2020-21
